,Date,Close,High,Low,Open,Volume,MA50,MA200
0,2008-01-01,197.15,201.34,196.67,201.34,928388,,
1,2008-01-02,196.29,198.35,192.84,198.16,2864924,,
2,2008-01-03,189.01,195.36,187.95,192.57,5168280,,
3,2008-01-04,187.92,191.23,187.38,189.01,2318868,,
4,2008-01-07,182.39,188.59,181.81,186.95,3647344,,
5,2008-01-08,184.68,185.45,181.21,183.21,3207732,,
6,2008-01-09,186.26,188.07,185.06,185.98,2450128,,
7,2008-01-10,183.52,188.72,179.84,186.57,3342376,,
8,2008-01-11,185.03,187.7,171.12,171.12,2149188,,
9,2008-01-14,179.68,186.91,178.65,186.91,4158864,,
10,2008-01-15,175.73,180.97,174.61,180.4,2935588,,
11,2008-01-16,176.66,180.72,172.93,175.73,3131956,,
12,2008-01-17,172.5,180.59,171.8,180.55,6302096,,
13,2008-01-18,168.85,175.73,167.71,173.77,4333816,,
14,2008-01-21,155.36,169.13,150.54,169.0,4840032,,
15,2008-01-22,149.6,185.08,135.54,152.31,6376872,,
16,2008-01-23,163.62,167.01,151.06,161.19,5359120,,
17,2008-01-24,158.24,166.63,154.95,163.26,2013336,,
18,2008-01-25,166.0,168.45,159.52,160.07,2243116,,
19,2008-01-28,160.31,163.26,154.81,163.26,2485660,,
20,2008-01-29,162.82,166.0,160.44,160.63,3258712,,
21,2008-01-30,163.23,167.38,161.38,165.51,3032856,,
22,2008-01-31,163.96,167.01,156.75,163.26,5966956,,
23,2008-02-01,174.42,176.6,163.88,166.07,4169520,,
24,2008-02-04,183.08,185.59,176.2,177.33,3730520,,
25,2008-02-05,179.22,182.96,175.58,180.15,1722872,,
26,2008-02-06,170.03,174.52,167.85,174.52,4007952,,
27,2008-02-07,164.95,170.03,163.45,170.03,2574652,,
28,2008-02-08,168.59,173.58,165.13,165.88,2576820,,
29,2008-02-11,170.03,174.89,161.4,168.59,3200988,,
30,2008-02-12,162.25,173.58,161.38,169.82,5161328,,
31,2008-02-13,163.06,168.32,159.75,164.19,2185376,,
32,2008-02-14,163.97,168.89,161.57,166.07,2246480,,
33,2008-02-15,163.76,166.46,161.38,161.38,2213044,,
34,2008-02-18,160.1,164.19,159.5,163.76,1723160,,
35,2008-02-19,164.28,165.88,160.44,160.63,1947288,,
36,2008-02-20,166.28,167.88,163.87,165.11,3060624,,
37,2008-02-21,171.64,174.7,165.51,168.51,3562052,,
38,2008-02-22,168.99,172.81,166.07,172.64,2401516,,
39,2008-02-25,169.03,174.33,167.06,174.14,3255460,,
40,2008-02-26,168.59,173.39,167.95,173.39,4999584,,
41,2008-02-27,164.67,171.67,164.02,170.39,2364056,,
42,2008-02-28,165.3,167.01,163.63,166.07,5579004,,
43,2008-02-29,164.65,167.33,162.04,165.13,3416480,,
44,2008-03-03,159.24,163.01,157.63,162.51,3141328,,
45,2008-03-04,161.15,163.26,158.96,161.0,3010532,,
46,2008-03-05,164.25,165.66,158.57,158.57,2209348,,
47,2008-03-07,158.78,162.52,158.05,161.87,1996828,,
48,2008-03-10,156.44,160.25,155.75,158.78,2494168,,
49,2008-03-11,154.53,157.63,153.87,157.63,4043520,169.80180000000001,
50,2008-03-12,154.54,159.5,152.04,157.44,1884412,168.9496,
51,2008-03-13,146.31,152.94,142.8,152.94,3408600,167.95,
52,2008-03-14,150.84,152.54,140.74,146.37,2216056,167.1866,
53,2008-03-17,148.59,149.69,144.26,145.43,1958904,166.4,
54,2008-03-18,153.44,155.53,144.49,148.24,3596080,165.821,
55,2008-03-19,152.27,157.63,151.16,155.38,4361924,165.17280000000002,
56,2008-03-24,154.57,157.16,152.27,152.27,3301984,164.53900000000002,
57,2008-03-25,164.48,168.86,156.69,157.63,2928896,164.1582,
58,2008-03-26,164.82,176.39,159.79,176.39,2171768,163.754,
59,2008-03-27,159.97,164.38,157.83,163.63,6151152,163.3598,
60,2008-03-28,163.45,164.14,159.88,160.07,3633696,163.1142,
61,2008-03-31,152.08,163.45,149.56,163.45,4051860,162.6226,
62,2008-04-01,156.19,160.05,152.0,153.87,2086728,162.2964,
63,2008-04-02,159.74,163.07,159.36,159.5,1428844,162.1142,
64,2008-04-03,166.15,167.38,159.5,159.5,3287172,162.33,
65,2008-04-04,163.8,166.99,161.39,166.26,2020844,162.614,
66,2008-04-07,169.66,172.66,164.8,167.95,3659528,162.7348,
67,2008-04-08,166.51,170.2,164.19,169.82,4055352,162.9002,
68,2008-04-09,164.43,167.38,163.07,165.13,1482600,162.86880000000002,
69,2008-04-10,168.8,172.57,164.57,165.13,2925932,163.03859999999997,
70,2008-04-11,170.39,173.58,167.62,169.46,2189264,163.19,
71,2008-04-15,182.8,184.84,165.21,173.01,5703772,163.5814,
72,2008-04-16,182.38,188.03,180.52,184.84,6438768,163.94979999999998,
73,2008-04-17,187.82,189.53,183.81,187.59,3999556,164.2178,
74,2008-04-21,186.41,194.22,185.14,189.34,3399296,164.28439999999998,
75,2008-04-22,166.48,184.83,165.51,184.83,13785196,164.0296,
76,2008-04-23,166.85,169.96,165.14,166.45,6326156,163.96599999999998,
77,2008-04-24,167.15,169.81,162.13,169.64,15290096,164.01,
78,2008-04-25,166.88,171.14,166.07,171.14,6828568,163.9758,
79,2008-04-28,165.45,168.14,135.11,151.81,6598136,163.8842,
80,2008-04-29,170.87,174.52,163.28,165.52,16209848,164.0566,
81,2008-04-30,172.83,175.59,170.11,171.91,9487980,164.252,
82,2008-05-02,177.1,180.52,173.39,173.58,5298780,164.5146,
83,2008-05-05,174.04,178.17,172.85,177.33,3613764,164.7202,
84,2008-05-06,175.84,178.27,163.74,170.76,3982796,165.035,
85,2008-05-07,181.41,183.88,178.27,178.27,12585540,165.37759999999997,
86,2008-05-08,177.71,181.08,172.26,181.06,10845832,165.6062,
87,2008-05-09,172.08,179.96,170.76,179.96,4492296,165.615,
88,2008-05-12,173.93,175.43,170.82,172.08,3898508,165.71380000000002,
89,2008-05-13,169.83,176.65,166.82,174.52,4462876,165.72979999999998,
90,2008-05-14,182.24,183.7,167.23,169.82,9373188,166.00279999999998,
91,2008-05-15,184.79,188.03,180.16,182.58,7177896,166.4052,
92,2008-05-16,184.1,186.53,181.74,186.53,3838648,166.78119999999998,
93,2008-05-20,179.41,185.77,177.75,182.96,4946904,167.0764,
94,2008-05-21,181.1,181.65,171.7,174.14,3140184,167.5136,
95,2008-05-22,180.36,184.93,178.46,179.49,5445200,167.89780000000002,
96,2008-05-23,174.97,183.84,173.78,182.94,5401384,168.1122,
97,2008-05-26,179.29,180.69,171.89,172.64,5457272,168.5224,
98,2008-05-27,181.82,186.53,177.52,183.9,5682072,169.03,
99,2008-05-28,189.42,190.51,182.04,182.04,5469588,169.72780000000003,
100,2008-05-29,186.65,192.97,184.65,189.34,8258940,170.37,
101,2008-05-30,195.0,196.85,183.52,185.96,15485284,171.34380000000002,
102,2008-06-02,184.62,198.42,181.08,190.47,7054764,172.0194,
103,2008-06-03,182.99,185.77,176.04,180.15,4900256,172.7074,
104,2008-06-04,179.54,185.74,177.58,185.74,3787856,173.2294,
105,2008-06-05,184.25,187.05,180.9,180.91,5905256,173.86899999999997,
106,2008-06-06,181.31,187.4,179.73,185.77,4137784,174.40379999999996,
107,2008-06-09,171.53,181.06,167.01,169.31,6140140,174.5448,
108,2008-06-10,164.95,172.45,162.69,170.76,6155372,174.5474,
109,2008-06-11,167.08,170.76,165.13,167.01,4113368,174.68960000000004,
110,2008-06-12,166.68,169.34,160.82,167.76,2464004,174.75420000000003,
111,2008-06-13,170.69,173.0,165.13,165.13,6732432,175.1264,
112,2008-06-16,170.91,174.14,169.5,172.45,6541784,175.42079999999999,
113,2008-06-17,172.88,173.95,169.82,169.82,3504824,175.6836,
114,2008-06-18,169.98,173.77,168.11,173.73,6431336,175.7602,
115,2008-06-19,167.54,169.43,166.03,166.08,3289068,175.835,
116,2008-06-20,162.99,169.79,158.78,169.79,8157760,175.70159999999998,
117,2008-06-23,161.97,165.93,159.05,162.99,3572312,175.6108,
118,2008-06-24,159.32,163.71,155.36,160.37,9287176,175.5086,
119,2008-06-25,165.43,166.98,156.85,158.49,5914196,175.44119999999998,
120,2008-06-26,166.29,169.43,162.34,166.79,7028316,175.35920000000002,
121,2008-06-27,163.3,166.29,160.59,166.29,6260948,174.96920000000003,
122,2008-06-30,161.92,165.66,160.37,164.34,3258044,174.56,
123,2008-07-01,159.94,164.52,157.55,163.2,5059616,174.00240000000002,
124,2008-07-02,165.37,167.54,158.49,160.37,8141112,173.5816,
125,2008-07-03,161.63,166.22,154.82,166.22,4172528,173.48460000000003,
126,2008-07-04,159.34,164.16,157.64,164.13,3939584,173.33440000000002,
127,2008-07-07,160.8,163.02,156.98,159.43,1794132,173.2074,
128,2008-07-08,156.64,159.43,154.34,156.63,3947624,173.00259999999997,
129,2008-07-09,165.42,167.91,160.37,160.37,3578548,173.002,
130,2008-07-10,163.85,167.73,160.82,164.15,3504368,172.8616,
131,2008-07-11,150.68,177.92,148.19,173.02,5523784,172.4186,
132,2008-07-14,144.87,150.94,143.58,150.94,4559896,171.77399999999997,
133,2008-07-15,141.63,148.38,139.08,144.87,4509844,171.12580000000003,
134,2008-07-16,137.37,145.97,135.07,142.38,5739900,170.3564,
135,2008-07-17,147.78,148.47,137.74,138.68,10350716,169.68380000000002,
136,2008-07-18,149.78,151.32,141.32,147.17,8339496,169.1252,
137,2008-07-21,153.35,153.77,147.73,150.75,3582068,168.75059999999996,
138,2008-07-22,156.95,159.23,152.08,153.96,4241164,168.41099999999997,
139,2008-07-23,162.36,164.15,154.51,156.6,5971420,168.2616,
140,2008-07-24,151.42,165.0,149.5,165.0,11742336,167.64520000000002,
141,2008-07-25,150.79,160.28,147.54,150.79,8842536,166.9652,
142,2008-07-28,152.12,154.14,148.11,150.94,1969372,166.3256,
143,2008-07-29,152.63,153.54,149.43,152.2,2472192,165.79,
144,2008-07-30,158.29,159.62,150.94,159.62,4420076,165.3338,
145,2008-07-31,157.87,159.43,155.55,159.06,5195580,164.88400000000001,
146,2008-08-01,159.18,162.27,153.61,156.22,4011724,164.5682,
147,2008-08-04,154.39,159.06,153.56,154.32,5238928,164.0702,
148,2008-08-05,157.11,158.11,152.48,154.4,4768200,163.576,
149,2008-08-06,162.95,164.73,158.37,159.04,5009932,163.0466,
150,2008-08-07,161.58,164.72,160.0,162.65,3072320,162.5452,
151,2008-08-08,160.02,162.27,157.81,159.99,2086672,161.8456,
152,2008-08-11,157.91,162.43,156.12,161.33,3405100,161.3114,
153,2008-08-12,155.13,159.76,154.32,158.11,3323504,160.7542,
154,2008-08-13,156.84,158.62,151.48,151.48,3697968,160.30020000000002,
155,2008-08-14,157.77,159.94,153.56,156.97,3741508,159.7706,
156,2008-08-18,159.35,161.4,158.11,159.06,1956648,159.3314,
157,2008-08-19,159.29,161.14,158.13,159.91,1953300,159.0866,
158,2008-08-20,159.36,160.76,158.11,159.57,1127256,158.9748,
159,2008-08-21,154.86,159.43,154.36,158.3,1976516,158.7304,
160,2008-08-22,155.08,156.17,152.14,155.08,2645284,158.4984,
161,2008-08-25,154.93,158.11,154.51,156.03,942244,158.1832,
162,2008-08-26,157.93,158.48,153.37,153.37,2205004,157.9236,
163,2008-08-27,154.98,158.3,153.96,155.29,2131788,157.5656,
164,2008-08-28,150.03,156.07,148.2,155.27,6580688,157.1666,
165,2008-08-29,153.79,155.26,151.48,151.48,1998500,156.8916,
166,2008-09-01,154.31,155.27,152.81,154.32,1527432,156.71800000000002,
167,2008-09-02,160.72,161.52,154.31,154.31,2647848,156.69299999999998,
168,2008-09-04,159.85,161.86,157.61,160.0,2461676,156.7036,
169,2008-09-05,158.75,160.95,156.22,160.95,2445368,156.57,
170,2008-09-08,162.22,165.57,159.43,162.84,5170432,156.48860000000002,
171,2008-09-09,163.75,165.06,159.06,161.9,2815328,156.4976,
172,2008-09-10,161.12,164.77,160.59,163.06,3063456,156.4816,
173,2008-09-11,158.43,164.36,156.97,161.12,1908976,156.4514,
174,2008-09-12,153.48,163.79,151.66,163.79,3573964,156.2136,
175,2008-09-15,144.02,151.29,141.07,147.69,8550948,155.8614,
176,2008-09-16,141.8,142.2,137.28,141.92,5072364,155.51059999999998,
177,2008-09-17,138.25,144.79,137.85,141.64,4200868,155.0596,
178,2008-09-18,136.55,141.82,127.06,137.85,6357104,154.6578,
179,2008-09-19,145.2,147.64,138.25,147.64,9544368,154.2534,
180,2008-09-22,145.2,164.36,142.58,164.36,4472944,153.8804,
181,2008-09-23,136.52,145.37,135.45,135.45,2966120,153.5972,
182,2008-09-24,135.02,141.64,130.71,137.2,7380724,153.4002,
183,2008-09-25,130.35,136.31,127.06,135.03,15122632,153.1746,
184,2008-09-26,128.04,132.55,126.15,132.55,4217244,152.988,
185,2008-09-29,117.4,128.53,115.88,128.53,5578636,152.3804,
186,2008-09-30,126.03,128.13,111.72,112.1,8391372,151.90540000000001,
187,2008-10-01,127.2,129.69,122.2,126.79,6017916,151.3824,
188,2008-10-03,124.5,125.91,121.63,125.91,4172404,150.7334,
189,2008-10-06,117.21,123.32,113.61,123.32,5882984,149.8304,
190,2008-10-07,109.05,125.92,107.17,119.51,8884604,148.983,
191,2008-10-08,103.5,106.6,96.19,105.09,8301380,148.0372,
192,2008-10-10,99.37,104.14,90.96,102.25,13742076,146.9822,
193,2008-10-13,108.47,114.16,99.37,99.97,13866024,146.09900000000002,
194,2008-10-14,112.23,117.28,110.08,113.42,7424624,145.17780000000002,
195,2008-10-15,102.84,111.46,101.36,110.77,5308752,144.0772,
196,2008-10-16,93.73,100.11,88.6,99.41,8031800,142.7682,
197,2008-10-17,85.94,100.17,84.26,94.68,9743540,141.3992,
198,2008-10-20,93.04,95.62,86.2,94.04,12413060,140.11780000000002,
199,2008-10-21,105.87,107.53,93.42,101.95,11804900,138.9762,160.3881
200,2008-10-22,103.51,105.09,96.78,105.09,6020668,137.8148,159.91989999999998
201,2008-10-23,103.63,111.34,94.91,99.34,10501016,136.687,159.4566
202,2008-10-24,94.46,101.57,83.31,95.38,8479936,135.418,158.98385
203,2008-10-27,94.06,98.08,78.65,91.08,8972576,134.1966,158.51454999999999
204,2008-10-29,103.02,109.54,101.01,107.06,10955572,133.1202,158.1177
205,2008-10-31,102.4,113.35,100.92,108.4,10375980,132.0128,157.7063
206,2008-11-03,104.28,111.06,100.4,106.67,7532020,130.9114,157.2964
207,2008-11-04,96.87,113.65,93.35,113.65,9422540,129.663,156.86315
208,2008-11-05,96.47,104.57,95.25,98.11,9233164,128.4052,156.42034999999998
209,2008-11-06,95.29,100.68,91.84,100.68,7861916,127.21379999999999,155.9984
210,2008-11-07,100.04,101.92,92.54,95.25,5877720,126.113,155.61995000000002
211,2008-11-10,104.1,105.25,98.12,104.76,4099016,125.09639999999999,155.25715
212,2008-11-11,100.75,104.35,99.06,103.25,6498776,123.95280000000001,154.8984
213,2008-11-12,101.9,105.62,98.12,100.75,7742044,122.89119999999998,154.56365000000002
214,2008-11-14,101.13,104.49,99.73,103.82,6617464,121.9132,154.2925
215,2008-11-17,98.87,102.3,96.3,100.78,8090972,120.81479999999999,154.03885
216,2008-11-18,92.04,99.06,91.44,99.06,9755152,119.56939999999999,153.68095
217,2008-11-19,91.95,94.49,89.86,93.35,8175088,118.19400000000002,153.34949999999998
218,2008-11-20,90.11,91.44,87.63,91.44,5016448,116.7992,152.97005
219,2008-11-21,96.48,98.49,87.63,89.48,6845692,115.55380000000001,152.6509
220,2008-11-24,99.04,101.28,93.39,96.01,8370556,114.2902,152.332
221,2008-11-25,96.01,102.86,95.26,98.89,5774020,112.93539999999999,151.9959
222,2008-11-26,100.48,100.97,94.71,95.87,6135556,111.7226,151.67849999999999
223,2008-11-27,100.48,100.48,100.48,100.48,0,110.5636,151.30880000000002
224,2008-11-28,106.57,108.21,98.68,98.68,12138064,109.62540000000001,150.92625
225,2008-12-01,107.47,113.11,105.99,106.57,11958704,108.89439999999999,150.5675
226,2008-12-02,101.51,108.59,99.64,108.59,6658808,108.0886,150.2249
227,2008-12-03,101.88,105.1,99.37,102.18,9997992,107.36120000000001,149.90955
228,2008-12-04,104.66,105.48,95.89,101.92,8256508,106.7234,149.58990000000003
229,2008-12-05,99.4,103.88,98.73,102.57,7105448,105.80740000000002,149.23675
230,2008-12-08,99.49,104.06,97.61,101.92,7621404,104.8932,148.92295000000001
231,2008-12-10,103.07,106.07,100.87,104.74,8088380,104.2242,148.62300000000002
232,2008-12-11,96.71,104.72,95.63,104.72,7300252,103.458,148.2867
233,2008-12-12,91.69,97.15,90.54,97.15,7121036,102.6848,147.92635
234,2008-12-15,89.47,95.63,89.01,95.63,5997716,101.9134,147.57319999999999
235,2008-12-16,91.32,92.37,88.58,89.54,5847868,101.3918,147.2084
236,2008-12-17,90.93,93.73,89.92,92.46,6476068,100.68979999999999,146.83165
237,2008-12-18,97.25,97.94,89.92,90.47,5723936,100.0908,146.4597
238,2008-12-19,97.83,101.73,94.13,95.82,4943988,99.5574,146.1039
239,2008-12-22,97.26,98.97,95.9,98.97,4106852,99.1584,145.74505
240,2008-12-23,95.37,97.46,93.77,94.34,3567120,98.8848,145.37894999999997
241,2008-12-24,91.09,96.16,89.96,94.62,9148436,98.6366,145.01104999999998
242,2008-12-26,89.85,94.3,88.62,88.62,3154564,98.4462,144.6338
243,2008-12-29,90.83,91.35,87.63,90.68,4875608,98.0934,144.2647
244,2008-12-30,91.93,94.01,89.54,92.39,3522528,97.6874,143.92815000000002
245,2008-12-31,91.04,93.78,89.96,93.78,2543696,97.45139999999999,143.5776
246,2009-01-02,94.93,96.91,94.14,94.69,5375740,97.4754,143.231
247,2009-01-05,98.16,99.63,94.87,95.63,4829776,97.71979999999999,142.92790000000002
248,2009-01-06,96.47,99.44,94.92,98.11,5918992,97.7884,142.62804999999997
249,2009-01-07,96.17,99.02,88.51,98.87,9013828,97.59440000000001,142.33625
250,2009-01-09,102.29,104.74,92.39,95.23,14219980,97.57,142.075
251,2009-01-12,97.64,100.97,96.22,97.47,7595416,97.45020000000001,141.83165
252,2009-01-13,100.14,102.3,93.0,95.18,13359808,97.56379999999999,141.57815
253,2009-01-14,102.67,106.22,100.59,100.59,5958904,97.736,141.34855000000002
254,2009-01-15,97.24,99.63,94.94,99.06,7171524,97.62039999999999,141.06754999999998
255,2009-01-16,95.82,98.87,92.68,96.91,9790076,97.48880000000001,140.78529999999998
256,2009-01-19,95.39,98.66,92.83,98.66,6868376,97.311,140.4894
257,2009-01-20,94.58,96.76,93.35,94.24,4635196,97.2652,140.1399
258,2009-01-21,93.78,95.44,92.39,93.54,3669860,97.21140000000001,139.7847
259,2009-01-22,94.6,96.02,92.04,94.3,4848136,97.19760000000001,139.45785
260,2009-01-23,92.61,95.04,92.07,93.37,3031220,97.04900000000002,139.10365
261,2009-01-27,95.08,98.11,93.54,93.54,5243956,96.8686,138.81865
262,2009-01-28,97.26,97.74,91.07,91.07,4789396,96.79879999999999,138.524
263,2009-01-29,98.51,99.28,95.08,98.14,10017036,96.73100000000001,138.21785
264,2009-01-30,98.05,98.7,95.5,96.79,8707524,96.66940000000001,137.87735
265,2009-02-02,94.16,97.51,93.36,97.51,3234692,96.57520000000001,137.52915
266,2009-02-03,95.8,97.71,94.49,94.49,3808560,96.6504,137.15984999999998
267,2009-02-04,95.57,98.3,94.49,96.4,2484756,96.72279999999999,136.80515
268,2009-02-05,92.55,96.33,91.66,95.83,4341548,96.77159999999999,136.44575
269,2009-02-06,96.36,97.34,93.34,93.91,6840388,96.76919999999998,136.08355
270,2009-02-09,98.7,100.36,95.19,95.83,4595224,96.7624,135.7251
271,2009-02-10,100.54,101.19,97.94,99.09,6790772,96.85300000000001,135.31380000000001
272,2009-02-11,98.65,100.24,98.13,99.28,4502732,96.81639999999999,134.89515
273,2009-02-12,97.72,98.84,96.61,98.13,2844372,96.7612,134.44465
274,2009-02-13,97.97,99.66,97.17,97.74,3257208,96.5892,134.00245
275,2009-02-16,95.97,98.69,95.44,97.28,2501996,96.3592,133.6499
276,2009-02-17,93.0,95.79,91.99,95.06,2950388,96.189,133.28065
277,2009-02-18,92.14,94.08,91.42,92.25,2629412,95.9942,132.90560000000002
278,2009-02-19,93.81,94.45,91.8,92.38,3477072,95.7772,132.54025
279,2009-02-20,90.85,93.43,88.99,93.24,4771388,95.60619999999999,132.16725
280,2009-02-24,89.87,91.17,88.26,90.08,4495532,95.4138,131.76225
281,2009-02-25,92.14,92.91,90.08,90.08,5517928,95.1952,131.3588
282,2009-02-26,92.42,94.03,91.42,92.19,8808288,95.10940000000001,130.93540000000002
283,2009-02-27,92.59,93.72,87.25,92.38,6750148,95.12740000000002,130.52815
284,2009-03-02,88.13,92.38,87.16,90.86,3988944,95.1006,130.0896
285,2009-03-03,85.52,89.31,84.2,86.63,3560896,94.98459999999999,129.61015
286,2009-03-04,88.27,89.01,85.52,85.86,3258300,94.93140000000001,129.16295
287,2009-03-05,88.77,90.25,87.78,89.11,4284496,94.76180000000001,128.7464
288,2009-03-06,92.32,92.92,87.71,88.16,5805604,94.6516,128.33835
289,2009-03-09,88.74,91.99,87.97,90.29,4535184,94.4812,127.9329
290,2009-03-12,91.5,92.95,88.48,88.48,8617456,94.4038,127.4792
291,2009-03-13,97.14,97.74,90.72,90.72,10199700,94.5248,127.04095000000001
292,2009-03-16,99.62,100.2,96.29,97.74,4672896,94.72019999999999,126.61855
293,2009-03-17,95.36,99.28,94.5,98.7,6946172,94.8108,126.1983
294,2009-03-18,96.81,98.61,95.83,95.83,6413800,94.9084,125.77685000000001
295,2009-03-19,98.69,99.28,96.13,96.88,7382584,95.0614,125.3685
296,2009-03-20,97.71,101.37,96.88,101.37,4139380,95.117,124.98219999999999
297,2009-03-23,99.59,101.5,97.94,100.52,4587312,95.14560000000002,124.5837
298,2009-03-24,99.98,102.06,98.17,100.08,6681544,95.2158,124.1745
299,2009-03-25,100.81,101.56,96.53,96.53,3831616,95.30860000000001,123.73145000000001
300,2009-03-26,107.03,110.77,98.25,98.25,15230328,95.4034,123.33335
301,2009-03-27,110.17,112.12,102.85,102.85,7079424,95.654,122.9092
302,2009-03-30,100.28,109.24,99.28,102.3,5148188,95.6568,122.4875
303,2009-03-31,103.22,104.24,100.62,100.62,4777672,95.6678,122.08865
304,2009-04-01,104.36,106.14,99.76,102.73,6724568,95.81020000000001,121.71275000000001
305,2009-04-02,110.92,112.5,104.58,104.58,8503764,96.11219999999999,121.3461
306,2009-04-06,111.07,113.84,110.34,112.08,5414580,96.4258,120.9949
307,2009-04-08,115.79,117.62,107.52,112.14,10193512,96.85,120.71620000000001
308,2009-04-09,115.48,118.81,113.89,117.29,6586724,97.28399999999999,120.46885
309,2009-04-13,113.51,116.72,110.24,115.86,4121008,97.66220000000001,120.20099999999998
310,2009-04-15,110.72,111.5,105.42,105.71,9767236,98.02439999999999,119.92119999999998
311,2009-04-16,109.64,112.88,108.71,111.16,8868964,98.31559999999999,119.61595
312,2009-04-17,109.84,114.9,108.3,110.55,6664024,98.56720000000001,119.3106
313,2009-04-20,107.59,111.5,105.94,105.94,5330200,98.74880000000002,118.98414999999999
314,2009-04-21,105.55,112.79,104.45,111.08,11488980,98.8988,118.66199999999999
315,2009-04-22,104.06,108.21,102.95,107.33,6584924,99.0968,118.34459999999999
316,2009-04-23,108.88,109.79,104.49,105.31,7373712,99.3584,118.07405
317,2009-04-24,111.91,112.5,107.32,107.32,5377524,99.68520000000001,117.82375
318,2009-04-27,115.36,116.68,109.72,111.9,8141124,100.14139999999999,117.60395
319,2009-04-28,114.71,116.5,110.46,114.82,8388692,100.5084,117.35034999999999
320,2009-04-29,119.52,120.55,115.38,115.38,10531292,100.92479999999999,117.1165
321,2009-04-30,119.23,119.23,119.23,119.23,0,101.2986,116.89614999999999
322,2009-05-04,127.72,134.08,120.77,120.93,11142936,101.88,116.72515000000001
323,2009-05-05,124.77,129.36,121.91,128.22,8822316,102.421,116.54929999999999
324,2009-05-06,121.77,124.52,117.87,122.32,52522096,102.89699999999999,116.3313
325,2009-05-07,121.07,123.62,118.69,121.89,7738864,103.399,116.12849999999999
326,2009-05-08,120.92,123.04,118.54,120.36,9001752,103.95739999999999,115.93639999999999
327,2009-05-11,117.92,122.59,116.72,122.37,5298612,104.473,115.722
328,2009-05-12,122.87,123.77,116.91,116.91,9487452,105.0542,115.55315
329,2009-05-13,119.15,123.6,117.87,123.04,7324800,105.62020000000001,115.3218
330,2009-05-14,118.79,120.17,116.01,118.44,9443176,106.1986,115.09649999999999
331,2009-05-15,123.44,125.51,119.59,119.59,10942472,106.82459999999999,114.96029999999999
332,2009-05-18,142.56,151.71,133.2,146.92,73380,107.8274,114.94875
333,2009-05-19,128.36,143.74,125.65,143.74,13015576,108.54279999999999,114.8824
334,2009-05-20,129.68,134.53,127.07,128.41,8507664,109.37380000000002,114.84395
335,2009-05-21,124.09,131.28,123.43,128.41,4459324,110.1452,114.72550000000001
336,2009-05-22,121.52,123.62,120.74,120.74,5861456,110.81019999999998,114.5842
337,2009-05-25,121.0,123.43,119.33,121.89,5673644,111.45479999999999,114.42245000000001
338,2009-05-26,119.68,122.59,118.92,121.69,6058900,112.00200000000001,114.2361
339,2009-05-27,124.3,124.96,120.9,120.9,9222868,112.7132,114.0458
340,2009-05-28,127.11,129.16,119.48,119.48,16863676,113.4254,113.92425000000001
341,2009-05-29,135.04,136.07,125.08,128.17,13871224,114.1834,113.84549999999999
342,2009-06-01,133.71,136.05,129.05,129.05,7905804,114.8652,113.75345000000002
343,2009-06-02,133.15,136.07,132.24,134.16,4118172,115.62100000000001,113.65605
344,2009-06-03,133.55,135.07,130.92,132.24,3914944,116.3558,113.53235
345,2009-06-04,135.54,135.88,131.54,131.67,7020704,117.09279999999998,113.4207
346,2009-06-05,138.25,139.66,133.46,135.88,13220132,117.90359999999998,113.31604999999999
347,2009-06-08,142.23,143.69,137.99,138.89,9267824,118.75640000000001,113.25524999999999
348,2009-06-09,149.9,152.37,140.12,140.12,9690708,119.75479999999999,113.2192
349,2009-06-10,149.84,154.28,147.05,150.45,9383796,120.73539999999998,113.15365
350,2009-06-11,148.55,151.88,147.57,151.02,3883200,121.5658,113.08850000000001
351,2009-06-12,146.53,152.33,145.89,150.45,6358660,122.29299999999999,113.02105
